accountsservice 0.6.45-1ubuntu1
acl 2.2.52-3build1
acpi-support 0.142
acpid 1:2.0.28-1ubuntu1
adduser 3.116ubuntu1
adwaita-icon-theme 3.28.0-1ubuntu1
alembic 0.9.3-2ubuntu1
alsa-utils 1.1.3-1ubuntu1
amd64-microcode 3.20180524.1~ubuntu0.18.04.2
anacron 2.3-24
ansible 2.8.4-1ppa~bionic
apache2 2.4.29-1ubuntu4.10
apache2-bin 2.4.29-1ubuntu4.10
apache2-data 2.4.29-1ubuntu4.10
apache2-utils 2.4.29-1ubuntu4.10
apparmor 2.12-4ubuntu5.1
apport 2.20.9-0ubuntu7.7
apport-gtk 2.20.9-0ubuntu7.7
appstream 0.12.0-3ubuntu1
apt 1.6.11
apt-config-icons 0.12.0-3ubuntu1
apt-transport-https 1.6.11
apt-utils 1.6.11
aptdaemon 1.1.1+bzr982-0ubuntu19.1
aptdaemon-data 1.1.1+bzr982-0ubuntu19.1
aspell 0.60.7~20110707-4
aspell-en 2017.08.24-0-0.1
attr 1:2.4.47-2build1
aufs-tools 1:4.9+20170918-1ubuntu1
autoconf 2.69-11
automake 1:1.15.1-3ubuntu2
autopoint 0.19.8.1-6ubuntu0.3
autotools-dev 20180224.1
avahi-daemon 0.7-3.1ubuntu1.2
base-files 10.1ubuntu2.6
base-passwd 3.5.44
bash 4.4.18-2ubuntu1.2
bash-completion 1:2.8-1ubuntu1
bc 1.07.1-2
bind9-host 1:9.11.3+dfsg-1ubuntu1.9
binutils 2.30-21ubuntu1~18.04.2
binutils-common 2.30-21ubuntu1~18.04.2
binutils-x86-64-linux-gnu 2.30-21ubuntu1~18.04.2
bleachbit 2.0-2
blueman 2.0.5-1ubuntu1
bluez 5.48-0ubuntu3.1
bluez-obexd 5.48-0ubuntu3.1
bridge-utils 1.5-15ubuntu1
bsdmainutils 11.1.2ubuntu1
bsdutils 1:2.31.1-0.4ubuntu3.3
btrfs-progs 4.15.1-1build1
bubblewrap 0.2.1-1ubuntu0.1
build-essential 12.4ubuntu1
busybox-initramfs 1:1.27.2-2ubuntu3.2
busybox-static 1:1.27.2-2ubuntu3.2
