accountsservice 0.6.45-1ubuntu1
acl 2.2.52-3build1
acpi-support 0.142
acpid 1:2.0.28-1ubuntu1
adduser 3.116ubuntu1
adwaita-icon-theme 3.28.0-1ubuntu1
alsa-utils 1.1.3-1ubuntu1
amd64-microcode 3.20180524.1~ubuntu0.18.04.2
anacron 2.3-24
apparmor 2.12-4ubuntu5.1
apport 2.20.9-0ubuntu7.7
apport-gtk 2.20.9-0ubuntu7.7
appstream 0.12.0-3ubuntu1
apt 1.6.11
apt-config-icons 0.12.0-3ubuntu1
apt-show-versions 0.22.7ubuntu1
apt-transport-https 1.6.11
apt-utils 1.6.11
aptdaemon 1.1.1+bzr982-0ubuntu19.1
aptdaemon-data 1.1.1+bzr982-0ubuntu19.1
aspell 0.60.7~20110707-4
aspell-en 2017.08.24-0-0.1
at-spi2-core 2.28.0-1
attr 1:2.4.47-2build1
audacious 3.9-2
audacious-plugins 3.9-1build2
audacious-plugins-data 3.9-1build2
avahi-daemon 0.7-3.1ubuntu1.2
avahi-utils 0.7-3.1ubuntu1.2
base-files 10.1ubuntu2.6
base-passwd 3.5.44
bash 4.4.18-2ubuntu1.2
bash-completion 1:2.8-1ubuntu1
bc 1.07.1-2
bcrelay 1.4.0-11build1
bind9-host 1:9.11.3+dfsg-1ubuntu1.8
binutils 2.30-21ubuntu1~18.04.2
binutils-common 2.30-21ubuntu1~18.04.2
binutils-x86-64-linux-gnu 2.30-21ubuntu1~18.04.2
blueman 2.0.5-1ubuntu1
bluez 5.48-0ubuntu3.1
bluez-obexd 5.48-0ubuntu3.1
bsdmainutils 11.1.2ubuntu1
bsdutils 1:2.31.1-0.4ubuntu3.3
bubblewrap 0.2.1-1ubuntu0.1
build-essential 12.4ubuntu1
busybox-initramfs 1:1.27.2-2ubuntu3.2
busybox-static 1:1.27.2-2ubuntu3.2
bzip2 1.0.6-8.1ubuntu0.2
ca-certificates 20180409
cmake 3.10.2-1ubuntu2.18.04.1
cmake-data 3.10.2-1ubuntu2.18.04.1
command-not-found 18.04.5
command-not-found-data 18.04.5
conky 1.10.8-1
conky-std 1.10.8-1
console-setup 1.178ubuntu2.9
